no,nomor,situs
1,1/bam/poligon,
2,2/bam/poligon,
3,3/bam/poligon,
4,4/bam/poligon,
5,5/bam/poligon,
6,6/bam/poligon,
7,7/bam/poligon,
8,8/bam/poligon,
9,9/bam/poligon,
10,10/bam/poligon,
11,11/bam/poligon,
12,12/bam/poligon,
13,13/bam/poligon,
14,14/bam/poligon,
15,15/bam/poligon,
16,16/bam/poligon,
17,17/bam/poligon,
18,18/bam/poligon,
19,19/bam/poligon,
20,20/bam/poligon,
21,21/bam/poligon,
22,22/bam/poligon,
23,23/bam/poligon,
24,24/bam/poligon,
25,25/bam/poligon,
26,26/bam/poligon,
27,27/bam/poligon,
28,28/bam/poligon,
29,29/bam/poligon,
30,30/bam/poligon,
31,31/bam/poligon,
32,32/bam/poligon,
33,33/bam/poligon,
34,34/bam/poligon,
35,35/bam/poligon,
36,36/bam/poligon,
37,37/bam/poligon,
38,38/bam/poligon,
39,39/bam/poligon,
40,40/bam/poligon,
41,41/bam/poligon,
42,42/bam/poligon,
43,43/bam/poligon,
44,44/bam/poligon,
45,45/bam/poligon,
46,46/bam/poligon,
47,47/bam/poligon,
48,48/bam/poligon,
49,49/bam/poligon,
50,50/bam/poligon,
51,51/bam/poligon,
52,52/bam/poligon,
53,53/bam/poligon,
54,54/bam/poligon,
55,55/bam/poligon,
56,56/bam/poligon,
57,57/bam/poligon,
58,58/bam/poligon,
59,59/bam/poligon,
60,60/bam/poligon,
61,61/bam/poligon,
62,62/bam/poligon,
63,63/bam/poligon,
64,64/bam/poligon,
65,65/bam/poligon,
66,66/bam/poligon,
67,67/bam/poligon,
68,68/bam/poligon,
69,69/bam/poligon,
70,70/bam/poligon,
71,71/bam/poligon,
72,72/bam/poligon,
73,73/bam/poligon,
74,74/bam/poligon,
75,75/bam/poligon,
76,76/bam/poligon,
77,77/bam/poligon,
78,78/bam/poligon,
79,79/bam/poligon,
80,80/bam/poligon,
81,81/bam/poligon,
82,82/bam/poligon,
83,83/bam/poligon,
84,84/bam/poligon,
85,85/bam/poligon,
86,86/bam/poligon,
87,87/bam/poligon,
88,88/bam/poligon,
89,89/bam/poligon,
90,90/bam/poligon,
91,91/bam/poligon,
92,92/bam/poligon,
93,93/bam/poligon,
94,94/bam/poligon,
95,95/bam/poligon,
96,96/bam/poligon,
97,97/bam/poligon,
98,98/bam/poligon,
99,99/bam/poligon,
100,100/bam/poligon,
101,101/bam/poligon,
102,102/bam/poligon,
103,103/bam/poligon,
104,104/bam/poligon,
105,105/bam/poligon,
106,106/bam/poligon,
107,107/bam/poligon,
108,108/bam/poligon,
109,109/bam/poligon,
110,110/bam/poligon,
111,111/bam/poligon,
112,112/bam/poligon,
113,113/bam/poligon,
114,114/bam/poligon,
115,115/bam/poligon,
116,116/bam/poligon,
117,117/bam/poligon,
118,118/bam/poligon,
119,119/bam/poligon,
120,120/bam/poligon,
121,121/bam/poligon,
122,122/bam/poligon,
123,123/bam/poligon,
124,124/bam/poligon,
125,125/bam/poligon,
126,126/bam/poligon,
127,127/bam/poligon,
128,128/bam/poligon,
129,129/bam/poligon,
130,130/bam/poligon,
131,131/bam/poligon,
132,132/bam/poligon,
133,133/bam/poligon,
134,134/bam/poligon,
135,135/bam/poligon,
136,136/bam/poligon,
137,137/bam/poligon,
138,138/bam/poligon,
139,139/bam/poligon,
140,140/bam/poligon,
141,141/bam/poligon,
142,142/bam/poligon,
143,143/bam/poligon,
144,144/bam/poligon,
145,145/bam/poligon,
146,146/bam/poligon,
147,147/bam/poligon,
148,148/bam/poligon,
149,149/bam/poligon,
150,150/bam/poligon,
151,151/bam/poligon,
152,152/bam/poligon,
153,153/bam/poligon,
154,154/bam/poligon,
155,155/bam/poligon,
156,156/bam/poligon,
157,157/bam/poligon,
158,158/bam/poligon,
159,159/bam/poligon,
160,160/bam/poligon,
161,161/bam/poligon,
162,162/bam/poligon,
163,163/bam/poligon,
164,164/bam/poligon,
165,165/bam/poligon,
166,166/bam/poligon,
167,167/bam/poligon,
168,168/bam/poligon,
169,169/bam/poligon,
170,170/bam/poligon,
171,171/bam/poligon,
172,172/bam/poligon,
173,173/bam/poligon,
174,174/bam/poligon,
175,175/bam/poligon,
176,176/bam/poligon,
177,177/bam/poligon,
178,178/bam/poligon,
179,179/bam/poligon,
180,180/bam/poligon,
181,181/bam/poligon,
182,182/bam/poligon,
183,183/bam/poligon,
184,184/bam/poligon,
185,185/bam/poligon,
186,186/bam/poligon,
187,187/bam/poligon,
188,188/bam/poligon,
189,189/bam/poligon,
190,190/bam/poligon,
191,191/bam/poligon,
192,192/bam/poligon,
193,193/bam/poligon,
194,194/bam/poligon,
195,195/bam/poligon,
196,196/bam/poligon,
197,197/bam/poligon,
198,198/bam/poligon,
199,199/bam/poligon,
200,200/bam/poligon,
201,201/bam/poligon,
202,202/bam/poligon,
203,203/bam/poligon,
204,204/bam/poligon,
205,205/bam/poligon,
206,206/bam/poligon,
207,207/bam/poligon,
208,208/bam/poligon,
209,209/bam/poligon,
210,210/bam/poligon,
211,211/bam/poligon,
212,212/bam/poligon,
213,213/bam/poligon,
214,214/bam/poligon,
215,215/bam/poligon,
216,216/bam/poligon,
217,217/bam/poligon,
218,218/bam/poligon,
219,219/bam/poligon,
220,220/bam/poligon,
221,221/bam/poligon,
222,222/bam/poligon,
223,223/bam/poligon,
224,224/bam/poligon,
225,225/bam/poligon,
226,226/bam/poligon,
227,227/bam/poligon,
228,228/bam/poligon,
229,229/bam/poligon,
230,230/bam/poligon,
231,231/bam/poligon,
232,232/bam/poligon,
233,233/bam/poligon,
234,234/bam/poligon,
235,235/bam/poligon,
236,236/bam/poligon,
237,237/bam/poligon,
238,238/bam/poligon,
239,239/bam/poligon,
240,240/bam/poligon,
241,241/bam/poligon,
242,242/bam/poligon,
243,243/bam/poligon,
244,244/bam/poligon,
245,245/bam/poligon,
246,246/bam/poligon,
247,247/bam/poligon,
248,248/bam/poligon,
249,249/bam/poligon,
250,250/bam/poligon,
251,251/bam/poligon,
252,252/bam/poligon,
253,253/bam/poligon,
254,254/bam/poligon,
255,255/bam/poligon,
256,256/bam/poligon,
257,257/bam/poligon,
258,258/bam/poligon,
259,259/bam/poligon,
260,260/bam/poligon,
261,261/bam/poligon,
262,262/bam/poligon,
263,263/bam/poligon,
264,264/bam/poligon,
265,265/bam/poligon,
266,266/bam/poligon,
267,267/bam/poligon,
268,268/bam/poligon,
269,269/bam/poligon,
270,270/bam/poligon,
271,271/bam/poligon,
272,272/bam/poligon,
273,273/bam/poligon,
274,274/bam/poligon,
275,275/bam/poligon,
276,276/bam/poligon,
277,277/bam/poligon,
278,278/bam/poligon,
279,279/bam/poligon,
280,280/bam/poligon,
281,281/bam/poligon,
282,282/bam/poligon,
283,283/bam/poligon,
284,284/bam/poligon,
285,285/bam/poligon,
286,286/bam/poligon,
287,287/bam/poligon,
288,288/bam/poligon,
289,289/bam/poligon,
290,290/bam/poligon,
291,291/bam/poligon,
292,292/bam/poligon,
293,293/bam/poligon,
294,294/bam/poligon,
295,295/bam/poligon,
296,296/bam/poligon,
297,297/bam/poligon,
298,298/bam/poligon,
299,299/bam/poligon,
300,300/bam/poligon,
301,301/bam/poligon,
302,302/bam/poligon,
303,303/bam/poligon,
304,304/bam/poligon,
305,305/bam/poligon,
306,306/bam/poligon,
307,307/bam/poligon,
308,308/bam/poligon,
309,309/bam/poligon,
310,310/bam/poligon,
311,311/bam/poligon,
312,312/bam/poligon,
313,313/bam/poligon,
314,314/bam/poligon,
315,315/bam/poligon,
316,316/bam/poligon,
317,317/bam/poligon,
318,318/bam/poligon,
319,319/bam/poligon,
320,320/bam/poligon,
321,321/bam/poligon,
322,322/bam/poligon,
323,323/bam/poligon,
324,324/bam/poligon,
325,325/bam/poligon,
326,326/bam/poligon,
327,327/bam/poligon,
328,328/bam/poligon,
329,329/bam/poligon,
330,330/bam/poligon,
331,331/bam/poligon,
332,332/bam/poligon,
333,333/bam/poligon,
334,334/bam/poligon,
335,335/bam/poligon,
336,336/bam/poligon,
337,337/bam/poligon,
338,338/bam/poligon,
339,339/bam/poligon,
340,340/bam/poligon,
341,341/bam/poligon,
342,342/bam/poligon,
343,343/bam/poligon,
344,344/bam/poligon,
345,345/bam/poligon,
346,346/bam/poligon,
347,347/bam/poligon,
348,348/bam/poligon,
349,349/bam/poligon,
350,350/bam/poligon,
351,351/bam/poligon,
