no,No,situs,poktan,desa,bast
1,194,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75053/empty,Padang Ganting,Pulau Birandang,1475000
2,195,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75058/empty,Bonca Kare,Pulau Birandang,5605000
3,196,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75060/empty,Jaring Mas Sejahtera,Pulau Birandang,3245000
4,197,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75061/empty,Rimbo Cambai I,Pulau Rambai,6490000
5,198,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75062/empty,Rimbo Cambai II,Pulau Rambai,6490000
6,199,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75063/empty,Pulau Kampuong,Pulau Rambai,1770000
7,200,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75064/empty,Bonca Kedundung I,Koto Perambahan,1475000
8,201,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75066/empty,Koto Kobun,Koto Perambahan,1475000
9,202,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75067/empty,Bonca Panjang,Koto Perambahan,1475000
10,203,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75068/empty,Bonca Mangkuong,Pulau Birandang,6490000
11,204,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75069/empty,Bonca Kedundung II,Koto Perambahan,2950000
12,205,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75070/empty,Pulau Kosiok,Koto Perambahan,1475000
13,206,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75071/empty,Petapahan II,Sawah Baru,2360000
14,207,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75072/empty,Aur Kuning,Sipungguk,2655000
15,208,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75074/empty,Awang Lowe,Sipungguk,4130000
16,209,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75075/empty,Tunas Baru,Sipungguk,2655000
17,210,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75076/empty,Suka Maju,Sipungguk,1180000
18,211,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75077/empty,Uwai Lowe,Sipungguk,2655000
19,212,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75078/empty,Boncah Rotan,Sipungguk,885000
20,213,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75079/empty,Batu Loncatan,Sipungguk,2360000
21,214,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75080/empty,Boncah Godang,Sipungguk,1770000
22,215,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75081/empty,Anggun-Anggun,Sipungguk,1180000
23,216,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75082/empty,Suayan,Ganting Damai,3540000
24,217,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75083/empty,Bonca Labi,Ganting Damai,1180000
25,218,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75084/empty,Boncah Panjang,Ganting Damai,3540000
26,219,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75085/empty,Rimbo Kampung,Ganting Damai,3540000
27,220,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75086/empty,Bukit Kareh,Ganting Damai,2950000
28,221,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75087/empty,Boncah Piliang,Sipungguk,4130000
29,222,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75088/empty,Bonca Panjang,Pulau Terap,1180000
30,223,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75089/empty,Sei. Ngolan II,Kuok,2950000
31,224,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75090/empty,Sei. Maki I,Kuok,590000
32,225,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75091/empty,Sei. Maki II,Kuok,1475000
33,226,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75093/empty,Taping,Kuok,885000
34,227,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75094/empty,Pulai Makmur,Empat Balai,2950000
35,228,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75095/empty,Manggadi,Empat Balai,2950000
36,229,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75096/empty,Guntung,Pulau Jambu,1475000
37,230,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75097/empty,Kampung Panjang,Pulau Jambu,885000
38,231,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75098/empty,Bonca Pogang,Pulau Jambu,885000
39,232,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75099/empty,Sijangkang,Empat Balai,7375000
40,233,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75100/empty,Suka Damai,Pulau Jambu,2950000
41,234,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75101/empty,Sadar,Pulau Jambu,2950000
42,235,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75102/empty,Bencah Ubuoh,Alam Panjang,3245000
43,236,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75103/empty,Bahagia,Simpang Petai,3835000
44,237,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75104/empty,Bencah Terantang,Alam Panjang,2950000
45,238,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75105/empty,Sumpadang Indah,Teratak,4130000
46,239,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75106/empty,Saiyo,Teratak,2950000
47,240,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75107/empty,Suka Maju,Pulau Payung,4425000
48,241,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75114/empty,Darussalam,Pulau Payung,3540000
49,242,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75115/empty,Muda Raya,Pulau Payung,5310000
50,243,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75116/empty,Nurul Hidayah,Pulau Payung,2950000
51,244,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75117/empty,Al Ikhlas,Pulau Payung,2360000
52,245,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75118/empty,Suka Mulia,Pulau Payung,2950000
53,246,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75119/empty,Usaha,Pulau Payung,2065000
54,247,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75120/empty,Sejahtera,Simpang Petai,2950000
55,248,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75121/empty,Baliok Imbo,Sawah,2065000
56,249,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75122/empty,Bonca Koyong,Sawah,2950000
57,250,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75123/empty,Pulau Indah,Sungai Jalau,2950000
58,251,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75124/empty,Bonca Ambai,Sawah,885000
59,252,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75125/empty,Tanjung,Sawah,2655000
60,253,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75126/empty,Sadar,Sungai Tonang,3245000
61,254,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75127/empty,Seberang Danau,Naga Beralih,590000
62,255,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75128/empty,Tali Utan,Naga Beralih,295000
63,256,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75129/empty,Bonca Pauh,Muara Jalai,3540000
64,257,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75130/empty,Berkah,Sungai Jalau,2950000
65,258,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75131/empty,Sentosa Santul,Sungai Jalau,4425000
66,259,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75132/empty,Antarox,Naga Beralih,4425000
67,260,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75133/empty,Ubuo Mudiok,Sungai Tonang,3245000
68,261,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75134/empty,Kembang Melati II,Sendayan,2950000
69,262,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75135/empty,Kembang Melati,Sendayan,2655000
70,263,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75136/empty,Bonca Soing,Sendayan,2655000
71,264,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75137/empty,Berkat Mufakat,Sungai Jalau,2950000
72,265,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75138/empty,Ubuo Ulak,Sungai Tonang,2655000
73,266,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75139/empty,Sederhana,Muara Jalai,3540000
74,267,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75140/empty,Babussalam,Pulau Tinggi,5900000
75,268,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75141/empty,Bonca Layiong,Pulau Tinggi,1475000
76,269,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75142/empty,Selamat,Pulau Tinggi,3835000
77,270,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75143/empty,Ikhsan,Pulau Tinggi,6785000
78,271,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75144/empty,Menanti Berkah,Pulau Tinggi,1475000
79,272,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75145/empty,Bina Tani,Pulau Tinggi,1770000
80,273,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75146/empty,Bonca Rizki,Koto Tibun,1475000
81,274,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75147/empty,Bonca Jopang II,Koto Tibun,1770000
82,275,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75148/empty,Rimbo Cambai,Koto Tibun,2950000
83,276,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75149/empty,Bonca Jopang,Padang Mutung,2950000
84,277,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75150/empty,Simbat Jaya,Rumbio,2950000
85,278,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75151/empty,Padang Danau,Rumbio,3835000
86,279,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75152/empty,Setia,Pulau Sarak,3540000
87,280,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75153/empty,Saiyo,Pulau Sarak,3540000
88,281,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75154/empty,Poncan,Penyasawan,4425000
89,282,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75155/empty,Sialang Timur,Penyasawan,2950000
90,283,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75156/empty,Pontianak Tinggi,Penyasawan,4425000
91,284,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75157/empty,Bina Rezeki,Penyasawan,2065000
92,285,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75158/empty,Pontianak Ulak,Penyasawan,1475000
93,286,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75159/empty,Pulai Tarandam,Ranah Baru,4425000
94,287,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75160/empty,Golam,Ranah Baru,4425000
95,288,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75161/empty,Simpang Kubu I,Simpang Kubu,4130000
96,289,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75162/empty,Simpang Kubu II,Simpang Kubu,3540000
97,290,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75163/empty,Hayati,Simpang Kubu,1770000
98,291,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75164/empty,Sumber Kemajuan,Air Tiris,2360000
99,292,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75165/empty,Popah,Tanjung Berulak,2950000
100,293,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75166/empty,Binjai,Naumbai,2950000
101,294,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75167/empty,Ate Bukik,Naumbai,885000
102,295,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75168/empty,Kampar Kering,Batu Belah,5900000
103,296,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75169/empty,Bonca Pulai,Bukit Ranah,2950000
104,297,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75170/empty,Harapan Maju,Sungai Geringging,885000
105,298,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75171/empty,Tunas Harapan,Sungai Geringging,885000
106,299,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75172/empty,Tani Makmur,Sungai Geringging,2065000
107,300,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75173/empty,Mekar Sari,Sungai Geringging,1770000
108,301,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75174/empty,Umban Sari,Sungai Geringging,2065000
109,302,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75175/empty,Bonca Pulai,Pulau,2360000
110,303,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75176/empty,Langgam,Pulau,2065000
111,304,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75177/empty,Bonca Perigi,Pulau,2655000
112,305,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75178/empty,Daek Pawuo,Pulau,2360000
113,306,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75179/empty,Takbau I,Binuang,2065000
114,307,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75180/empty,Takbau II,Binuang,2360000
115,308,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75181/empty,Takbau III,Binuang,2950000
116,309,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75182/empty,Buyau I,Binuang,2655000
117,310,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75183/empty,Buyau II,Binuang,3245000
118,311,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75184/empty,Buyau III,Binuang,2360000
119,312,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75185/empty,Sawah Domo,Pasir Sialang,590000
120,313,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75186/empty,Anggun Anggun,Pasir Sialang,590000
121,314,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75187/empty,Karya Bakti,Pasir Sialang,1180000
122,315,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75188/empty,Suka Maju,Pasir Sialang,1180000
123,316,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75189/empty,Alhidayah,Muara Uwai,1475000
124,317,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75190/empty,Bonca Kosiok,Muara Uwai,1475000
125,318,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75191/empty,Melintang Jaya,Muara Uwai,885000
126,319,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75192/empty,Subur Jaya,Muara Uwai,1475000
127,320,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75193/empty,Panca Karya,Muara Uwai,1475000
128,321,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75194/empty,Balik Tanjung,Tanjung,1770000
129,322,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75195/empty,Sungai Alai,Aursati,3540000
130,323,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75196/empty,Bonca Umbai,Gobah,2655000
131,324,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75197/empty,Bina Bersama,Gobah,2065000
132,325,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75198/empty,Bonca Polung,Palung Raya,590000
133,326,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75199/empty,Sei Bone,Tambang,590000
134,327,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75200/empty,Bonca Umbai,Tambang,1180000
135,328,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75201/empty,Tunas Harapan Baru,Terantang,1180000
136,329,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75202/empty,Beringin Jaya,Padang Luas,1180000
137,330,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75203/empty,Cabuok,Kemang Indah,2065000
138,331,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75204/empty,Lomba Sejati,Kemang Indah,2065000
139,332,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75205/empty,Gemuruh Lestari,Petapahan,7670000
140,333,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75206/empty,Murni Jaya,Petapahan,7080000
141,334,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75207/empty,Sialang Indah,Pongkai Istiqomah,14750000
142,335,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75208/empty,Pulau Harapan,Pongkai Istiqomah,14750000
143,336,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75209/empty,Ronah Kumpai,Balung,16520000
144,337,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75210/empty,Sabar Subur,Danau Sontul,14750000
145,338,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75211/empty,Juang Makmur 02,Danau Lancang,7375000
146,339,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75212/empty,Juang Makmur 03,Danau Lancang,11800000
147,340,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75213/empty,Super Tani II,Danau Lancang,7670000
148,341,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75214/empty,Super Tani,Danau Lancang,7375000
149,342,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75215/empty,Karya Nyata,Danau Lancang,7375000
150,343,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75216/empty,Rawa Bira I,Kuntu,1475000
151,344,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75217/empty,Tueroba Berkah,Kuntu,3245000
152,345,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75218/empty,Pogang 1,Tambang,2360000
153,346,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75219/empty,Pogang 2,Tambang,2950000
154,347,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75227/empty,Bonca Umbai II,Tambang,2655000
155,348,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75228/empty,Danau Baru,Tambang,2360000
156,349,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75229/empty,Cibodak Ampo,Tambang,2655000
157,350,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75230/empty,Sei Guntung,Balam Jaya,3540000
158,351,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75231/empty,Kewong,Balam Jaya,3540000
159,352,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75232/empty,Sinar Rezeki,Parit Baru,1475000
160,353,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75233/empty,Sukses Tani,Buluh Nipis,885000
161,3821,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/112234/empty,Ompuok,Pulau,2360000
